NHSWEID,SOURCE,ORIGID,CN,STANAME,LAT,LON,ELEV,START,END,VALIDYEARS,rhonull,rhomax,Tbarstar,VP_DJF,meanmaxHS,meanpeakSWE,meanmaxSCD
52290,GHCNd,US1MIIN0001,US,SARANAC 2.6 NE,42.9576,-85.1738,203.3,20101106,20220831,12,129,378,0.4813,0.3733,0.28,60,48
52291,GHCNd,US1MIKN0014,US,GRANDVILLE 1.3 WSW,42.8972,-85.7791,186.2,20081108,20220831,14,129,384,0.5145,0.3767,0.35,75,44
52292,GHCNd,US1MIKN0056,US,GRAND RAPIDS 5.5 NNE,43.031,-85.6127,220.1,20101231,20150403,5,128,385,0.5014,0.37,0.39,84,56
52293,GHCNd,US1MIKZ0006,US,WESTERN MICHIGAN UNIVERSITY,42.283,-85.615,271.9,19981110,20220420,24,131,385,0.5422,0.3833,0.32,65,42
52294,GHCNd,US1MIME0002,US,BIG RAPIDS 0.7 ENE,43.7075,-85.4739,281.9,20090923,20110402,2,125,374,0.3908,0.3533,0.36,75,85
52295,GHCNd,US1MIMQ0017,US,ISHPEMING 5.6 NNW,46.5673,-87.6869,418.8,20130901,20181107,6,108,383,0.1608,0.2733,1.04,300,163
52296,GHCNd,US1MIMQ0019,US,ISHPEMING 7.2 SW,46.4055,-87.7567,445.9,20151125,20220831,7,108,375,0.1519,0.2733,0.87,218,135
52297,GHCNd,US1MIOT0001,US,GAYLORD 2.2 SE,44.9978,-84.6531,402,20080901,20150819,7,114,376,0.2796,0.3033,0.64,153,113
52298,GHCNd,US1MIOT0007,US,GAYLORD 1.8 ESE,45.0093,-84.6468,397.8,20090406,20120831,4,114,377,0.283,0.3033,0.65,140,94
52299,GHCNd,US1MIOT0016,US,GAYLORD 2.2 SSE,44.9944,-84.6582,395.9,20190901,20210630,2,114,375,0.2796,0.3033,0.62,171,119
52300,GHCNd,US1MIOT0017,US,GAYLORD 4.1 S,44.9639,-84.6847,392.9,20191001,20220831,3,116,368,0.2849,0.31,0.44,120,117
52301,GHCNd,US1MIOW0003,US,WALKER 3.2 W,42.988,-85.8103,218.8,20081215,20150423,7,128,388,0.4939,0.37,0.48,99,52
52302,GHCNd,US1MISH0001,US,MANISTIQUE 2.7 NW,45.9904,-86.2827,190.5,20201110,20220831,2,116,372,0.238,0.31,0.62,152,125
52303,GHCNd,US1MIVB0002,US,GRAND JUNCTION 1.3 ENE,42.4093,-86.0481,202.7,20100901,20220831,8,131,387,0.5338,0.3833,0.39,74,40
52304,GHCNd,US1MIWS0025,US,SALINE 3.8 SSW,42.1262,-83.8109,249.9,20121125,20220430,10,129,378,0.5079,0.3733,0.22,40,43
52305,GHCNd,US1MNBK0006,US,LAKE PARK 6.0 S,46.7985,-96.1218,442.9,20130429,20220831,9,95,354,0.1353,0.21,0.42,75,117
52306,GHCNd,US1MNBK0010,US,DETROIT LAKES 5.7 N,46.8867,-95.8444,420,20150908,20220831,6,95,349,0.1215,0.21,0.32,54,72
52307,GHCNd,US1MNBM0015,US,BEMIDJI 7.8 ENE,47.5204,-94.7212,417.9,20181020,20210422,3,94,360,0.0921,0.2033,0.64,125,148
52308,GHCNd,US1MNCK0006,US,GRAND MARAIS 4.4 W,47.7487,-90.4376,344.1,20171010,20220831,5,98,363,0.1029,0.2267,0.69,143,144
52309,GHCNd,US1MNCN0006,US,BARNUM 2.4 W,46.5113,-92.7391,366.4,20121005,20150630,3,98,353,0.1436,0.2267,0.37,72,47
52310,GHCNd,US1MNCV0022,US,VICTORIA 1.6 WSW,44.8567,-93.6864,301.8,20141001,20220531,8,105,364,0.2796,0.2567,0.34,65,62
52311,GHCNd,US1MNCW0003,US,BRAINERD 6.9 NW,46.4238,-94.3033,371.9,20101112,20170531,7,98,357,0.1817,0.2233,0.4,70,99
52312,GHCNd,US1MNCW0022,US,FORT RIPLEY 0.8 N,46.1809,-94.3651,343.8,20170412,20220809,6,98,355,0.203,0.2267,0.29,43,84
52313,GHCNd,US1MNDK0014,US,INVER GROVE HEIGHTS 1.3 ENE,44.8344,-93.0358,280.1,20101027,20190831,9,107,370,0.3224,0.2667,0.41,79,88
52314,GHCNd,US1MNDK0070,US,EAGAN 2.0 NNW,44.8432,-93.179,267,20151013,20220805,7,107,370,0.33,0.2667,0.39,84,87
52315,GHCNd,US1MNDK0073,US,LAKEVILLE 2.6 NNE,44.7125,-93.2304,317.3,20151218,20210409,6,106,369,0.3154,0.2633,0.39,84,120
52316,GHCNd,US1MNDK0104,US,HASTINGS 1.6 NW,44.7446,-92.8804,260.9,20181015,20220426,4,107,363,0.3241,0.2667,0.25,54,90
52317,GHCNd,US1MNGH0003,US,LAKE CITY 1.2 NNW,44.456,-92.2907,213.4,20101127,20220831,11,109,368,0.3518,0.2767,0.3,65,71
52318,GHCNd,US1MNGH0004,US,NERSTRAND 4.2 E,44.3425,-92.9792,321.3,20110320,20220418,12,107,360,0.2958,0.2667,0.23,40,43
52319,GHCNd,US1MNGH0028,US,CANNON FALLS 0.5 SE,44.5087,-92.8953,274.3,20181104,20220418,4,107,369,0.3224,0.27,0.38,69,74
52320,GHCNd,US1MNHN0078,US,RICHFIELD 1.9 WNW,44.8913,-93.3141,271.9,20111212,20220831,11,105,368,0.3355,0.26,0.33,64,70
52321,GHCNd,US1MNHN0088,US,GOLDEN VALLEY 0.8 WSW,44.9846,-93.3744,273.4,20121026,20191105,8,105,368,0.3254,0.2567,0.37,70,93
52322,GHCNd,US1MNHN0110,US,EDINA 1.9 SSE,44.8687,-93.3394,253.9,20140331,20220327,9,106,364,0.3327,0.2633,0.24,38,45
52323,GHCNd,US1MNHN0181,US,MINNEAPOLIS 0.4 NE,44.9671,-93.2622,258.5,20181001,20210430,3,105,371,0.3519,0.26,0.37,75,79
52324,GHCNd,US1MNIS0007,US,BETHEL 2.6 NE,45.4283,-93.2313,287.1,20121112,20131202,2,103,358,0.2605,0.2467,0.26,63,58
52325,GHCNd,US1MNIT0001,US,GRAND RAPIDS 2.0 E,47.2227,-93.496,384,20111111,20210418,10,95,347,0.1249,0.21,0.27,42,84
52326,GHCNd,US1MNIT0017,US,GRAND RAPIDS 6.1 N,47.3116,-93.5504,398.4,20171115,20210831,4,95,346,0.1117,0.21,0.28,41,84
52327,GHCNd,US1MNKB0017,US,MORA 2.5 S,45.841,-93.297,295,20201124,20220424,2,102,356,0.2059,0.2433,0.32,67,51
52328,GHCNd,US1MNLK0009,US,SILVER BAY 11.5 NE,47.4126,-91.1058,192.6,20140415,20171208,5,100,349,0.1733,0.2333,0.23,40,86
52329,GHCNd,US1MNML0007,US,PRINCETON 1.1 NNE,45.5852,-93.577,302.1,20170923,20180531,1,102,363,0.2447,0.2433,0.4,86,136
52330,GHCNd,US1MNMR0004,US,LITTLE FALLS 1.2 SW,45.9689,-94.3772,336.5,20111010,20220507,11,100,363,0.2331,0.2367,0.42,76,95
52331,GHCNd,US1MNMR0013,US,LITTLE FALLS 8.0 NE,46.0679,-94.2479,367.9,20170306,20220831,6,98,362,0.2043,0.2267,0.46,92,106
52332,GHCNd,US1MNMT0001,US,FAIRMONT 0.9 NE,43.6527,-94.4482,362.7,20111001,20141225,3,111,364,0.331,0.2867,0.25,44,47
52333,GHCNd,US1MNMT0006,US,FAIRMONT 0.7 E,43.645,-94.4486,360,20161001,20220602,6,111,369,0.332,0.2867,0.36,76,71
52334,GHCNd,US1MNOL0018,US,ROCHESTER 2.6 NE,44.0397,-92.4375,371.6,20130402,20220418,10,108,366,0.3197,0.2733,0.33,62,77
52335,GHCNd,US1MNPK0002,US,ERSKINE 7.6 SW,47.5856,-96.1279,376.7,20110901,20220423,10,92,352,0.1164,0.1933,0.41,71,107
52336,GHCNd,US1MNRC0001,US,MONTGOMERY 3.2 ENE,44.464,-93.5198,332.2,20091205,20220611,13,107,364,0.2823,0.2667,0.35,62,61
52337,GHCNd,US1MNRC0011,US,NEW PRAGUE 4.8 ESE,44.52,-93.4847,347.2,20111122,20211226,11,107,359,0.2811,0.2667,0.24,38,53
52338,GHCNd,US1MNRM0002,US,NORTH SAINT PAUL 1.0 NNW,45.0263,-93.0079,299.3,20091125,20220831,12,105,367,0.3196,0.2567,0.35,70,79
52339,GHCNd,US1MNRM0015,US,ROSEVILLE 2.1 NW,45.035,-93.1862,280.4,20110321,20220831,12,105,365,0.3314,0.2567,0.27,43,88
52340,GHCNd,US1MNSC0002,US,PRIOR LAKE 2.0 W,44.7125,-93.4636,292.6,20091201,20220519,13,107,366,0.3001,0.2667,0.36,70,70
52341,GHCNd,US1MNSC0058,US,SHAKOPEE 2.9 NW,44.798,-93.5256,228.3,20211103,20220831,1,107,361,0.3101,0.2667,0.23,39,76
52342,GHCNd,US1MNSE0002,US,OWATONNA 0.8 E,44.0917,-93.2138,353.3,20100316,20220831,12,107,369,0.3059,0.27,0.42,78,87
52343,GHCNd,US1MNSH0010,US,BIG LAKE 5.6 NNE,45.4141,-93.6919,296.6,20111201,20220831,3,103,358,0.2604,0.2467,0.25,56,94
52344,GHCNd,US1MNSH0985,US,PRINCETON 3.3 WSW,45.5521,-93.6448,296,20091129,20210408,12,102,362,0.2442,0.2433,0.39,72,86
52345,GHCNd,US1MNSL0005,US,DULUTH 3.0 NE,46.8153,-92.0637,251.2,20111117,20180417,4,99,353,0.1985,0.23,0.27,46,51
